Kategorie_ID;Kategorie_Name;Beschreibung

L1;Liebe;"Beziehungen, Partnerschaft, Bindung, Nähe, Herzthemen."
L2;Beruf;"Arbeit, Berufung, Karriere, Projekte, Erfolg."
L3;Gesundheit;"Körperliche und seelische Balance, Heilung, Vitalität."
L4;Spiritualität;"Sinnsuche, Intuition, höhere Führung, Bewusstsein."
L5;Familie;"Herkunft, Kinder, Eltern, Zugehörigkeit, Nest."
L6;Selbstentwicklung;"Persönliches Wachstum, Reife, Erkenntnis."
L7;Finanzen;"Materielle Sicherheit, Besitz, Ressourcen."
L8;Entscheidung;"Wahl, Klarheit, Abwägen, Richtungsfindung."
L9;Konflikt;"Streit, Spannung, Abgrenzung, Verteidigung."
L10;Lebensweg;"Schicksal, Bestimmung, große Zyklen."

P1;Emotion;"Gefühle, innere Bewegungen, emotionale Wahrheit."
P2;Bedürfnis;"Was gebraucht wird, innere Versorgung."
P3;Schatten;"Verdrängtes, Blockaden, unbewusste Muster."
P4;Licht;"Stärke, Klarheit, Potenzial."
P5;Muster;"Wiederholungen, Prägungen, Automatismen."
P6;Intuition;"Innere Stimme, Wahrnehmung, feine Hinweise."
P7;Wille;"Entschlossenheit, Handlungskraft."
P8;Angst;"Hemmung, Schutzmechanismus."
P9;Hoffnung;"Vision, Ausrichtung, Zukunftsgefühl."

Z1;Vergangenheit;"Was war, Prägungen, Wurzeln."
Z2;Gegenwart;"Was ist, aktuelle Lage."
Z3;Zukunft;"Was wird, Entwicklung."
Z4;Prozess;"Verlauf, Übergang, Veränderung."
Z5;Wendepunkt;"Kritischer Moment, Entscheidung."
Z6;Entwicklung;"Wachstum, Reifung."

E1;Aktiv;"Handlung, Bewegung, Initiative."
E2;Passiv;"Empfangen, Ruhe, Beobachtung."
E3;Öffnen;"Weitung, Zulassen, Vertrauen."
E4;Schließen;"Schutz, Abgrenzung, Rückzug."
E5;Wandlung;"Transformation, Übergang."
E6;Stabilität;"Ruhe, Fundament, Sicherheit."

O1;Lichtaspekt;"Positive, konstruktive Bedeutung."
O2;Schattenaspekt;"Herausforderung, Blockade, Warnung."
O3;Neutral;"Ausgleich, Beobachtung, Mitte."
O4;Impuls;"Einladung, Hinweis, kleine Handlung."
O5;Warnung;"Achtung, Gefahr, Vorsicht."
O6;Erkenntnis;"Tiefe Einsicht, Wahrheit."
O7;Transformation;"Wandel, Durchbruch, Entwicklung."
