Baustein_Typ;Varianten_ID;Textinhalt
Intro;1;"Sei gegrüsst, [Name]. Die Runen haben auf deine Frage gewartet: '[Frage]'. Horche nun auf das Raunen der Hölzer."
Intro;2;"[Name], ich habe die Zeichen fuer dein Anliegen '[Frage]' geprüft. Die Analyse der Pfade beginnt jetzt."
Intro;3;"Die Nebel lichten sich für dich, [Name]. Zu deiner Suche nach '[Frage]' offenbaren die Mächte folgendes Bild:"
Intro;4;"Es steht geschrieben, [Name], dass jede Frage eine Antwort im Universum findet. Zu '[Frage]' ist dies dein Los:"
Kategorie-Ueberleitung;1;"Was deine Belange im Bereich [Kategorie] betrifft, so zeigt sich eine klare Tendenz:"
Kategorie-Ueberleitung;2;"Im Gefüge von [Kategorie] bewegen sich die Kräfte wie folgt:"
Kategorie-Ueberleitung;3;"Besonders für das Schicksalsfeld [Kategorie] ist diese Botschaft von Bedeutung:"
Kategorie-Ueberleitung;4;"Blicken wir nun tiefer in die Strukturen von [Kategorie], um Klarheit zu finden:"
Uebergang_Licht;1;"Die Rune [Rune] flüstert dir eine helle Botschaft zu. Die Zeichen stehen auf Entfaltung:"
Uebergang_Licht;2;"Das Licht fällt ungehindert auf [Rune]. Der Pfad vor dir ist klar gezeichnet und offenbart:"
Uebergang_Licht;3;"In der Rune [Rune] sammelt sich schöpferische Energie. Höre, welche konstruktive Kraft nun wirkt:"
Uebergang_Licht;4;"Die Rune [Rune] zeigt ihr leuchtendes Antlitz. Ein wahrer und stärkender Rat offenbart sich dir:"
Uebergang_Schatten;1;"Ein Schatten legt sich über die Rune [Rune]. Die verborgene Seite mahnt dich zur Wachsamkeit:"
Uebergang_Schatten;2;"Die Rune [Rune] zeigt ihr dunkles Antlitz. Es gilt nun, folgendes Hindernis auf deinem Pfad zu erkennen:"
Uebergang_Schatten;3;"In [Rune] spiegelt sich eine schwierige Kraft. Der Rat der Runen fordert dich zur Umkehr oder Vorsicht auf:"
Uebergang_Schatten;4;"Die Energie von [Rune] ist getrübt. Hoere die Warnung, die im Schatten dieser Rune für dich bereitliegt:"
Abschluss;1;"Gehe nun mit Bedacht deinen Weg. Das Orakel hat gesprochen."
Abschluss;2;"Möge die Weisheit der Runen dein Handeln leiten, [Name]."
Abschluss;3;"Bewahre diese Erkenntnis in deinem Herzen, bis sich das Schicksal erneut wendet."
Abschluss;4;"Die Zeichen sind gesetzt. Nun liegt es an dir, das Eisen zu schmieden."
